Data;MÊS;Código;Produto;Peças Recebidas com Defeito;Lote;Fábrica Origem;Transportadora;Valor unitario;Valor total;Categoria;;
43832;JAN;39682;Produto K;104;BT354;Fábrica Sudeste;Novo Horizonte;10;1040;HIDRO;;
43832;JAN;70428;Produto O;289;BT361;Fábrica Sudeste;Gavião;7,68;2219,52;CREMES;;
43832;JAN;71644;Produto J;267;BT340;Fábrica Nordeste;Novo Horizonte;9,49;2533,83;HIDRO;;
43832;JAN;44452;Produto V;63;T081;Fábrica Sudeste;Novo Horizonte;23,36;1471,68;TERCEIROS;;
43832;JAN;71594;Produto C;443;S024;Fábrica Nordeste;Flash;8,45;3743,35;HIDRO;;
43832;JAN;36379;Produto G;37;BT354;Fábrica Nordeste;Novo Horizonte;14,02;518,74;MAKE;;
43832;JAN;41460;Produto E;8;T343TA;Fábrica Nordeste;Novo Horizonte;5,09;40,72;HIDRO;;
43832;JAN;36379;Produto G;115;BT346;Fábrica Sudeste;Flash;10,59;1217,85;MAKE;;
43832;JAN;36379;Produto G;228;R241J;Fábrica Sudeste;Vai e Vêm;27;6156;GIFT;;
43832;JAN;37166;Produto N;144;BT355;Fábrica Sudeste;Del Monte;9,5;1368;TERCEIROS;;
43832;JAN;30581;Produto M;98;BT318;Fábrica Nordeste;Vai e Vêm;2,69;263,62;CREMES;;
43832;JAN;38309;Produto W;435;BT346;Fábrica Sudeste;Del Monte;10,59;4606,65;MAKE;;
43832;JAN;70428;Produto O;265;T276TA;Fábrica Sudeste;Flash;5,2;1378;MAKE;;
43832;JAN;65472;Produto U;50;T344TA;Fábrica Sudeste;Gavião;5,03;251,5;CREMES;;
43832;JAN;58880;Produto L;414;T276TA;Fábrica Nordeste;Del Monte;5,2;2152,8;MAKE;;
43832;JAN;70428;Produto O;309;T347TL;Fábrica Sudeste;Vai e Vêm;6,5;2008,5;MAKE;;
43832;JAN;36379;Produto G;99;T253;Fábrica Sudeste;Rapidex;4,68;463,32;MAKE;;
43832;JAN;48128;Produto F;143;BT256;Fábrica Sudeste;Novo Horizonte;5,09;727,87;MAKE;;
43832;JAN;70428;Produto O;322;BT343;Fábrica Nordeste;Gavião;3,11;1001,42;MAKE;;
43832;JAN;70428;Produto O;27;T309;Fábrica Sudeste;Gavião;8,43;227,61;CREMES;;
43832;JAN;79267;Produto X;164;BT290;Fábrica Nordeste;Rapidex;5,63;923,32;GIFT;;
43832;JAN;70428;Produto O;92;BT311;Fábrica Nordeste;Gavião;3,39;311,88;GIFT;;
43832;JAN;77891;Produto R;253;T286;Fábrica Sudeste;Novo Horizonte;2;506;GIFT;;
43832;JAN;34905;Produto H;347;T178T;Fábrica Sudeste;Vai e Vêm;3,41;1183,27;CREMES;;
43832;JAN;46609;Produto Q;454;T276BT;Fábrica Nordeste;Flash;4,32;1961,28;MAKE;;
43832;JAN;77891;Produto R;62;BT352;Fábrica Nordeste;Novo Horizonte;3,59;222,58;TERCEIROS;;
43832;JAN;29670;Produto D;34;BT255;Fábrica Sudeste;Vai e Vêm;6,77;230,18;MAKE;;
43832;JAN;48128;Produto F;381;BT340;Fábrica Nordeste;Flash;8,41;3204,21;CREMES;;
43832;JAN;34905;Produto H;420;T338TL;Fábrica Nordeste;Rapidex;2,84;1192,8;HIDRO;;
43832;JAN;46609;Produto Q;324;T331;Fábrica Sudeste;Novo Horizonte;5,03;1629,72;CREMES;;
43832;JAN;48128;Produto F;246;T351;Fábrica Nordeste;Vai e Vêm;13,58;3340,68;MAKE;;
43832;JAN;34344;Produto Y;362;BT353;Fábrica Nordeste;Flash;7,15;2588,3;CREMES;;
43833;JAN;70118;Produto T;215;BT292;Fábrica Sudeste;Del Monte;6,74;1449,1;TERCEIROS;;
43833;JAN;71644;Produto J;39;BT313;Fábrica Nordeste;Novo Horizonte;7,12;277,68;GIFT;;
43833;JAN;79267;Produto X;393;T260;Fábrica Nordeste;Novo Horizonte;6,77;2660,61;TERCEIROS;;
43833;JAN;59587;Produto S;110;BT274;Fábrica Sudeste;Del Monte;15,93;1752,3;TERCEIROS;;
43833;JAN;65472;Produto U;281;T346;Fábrica Nordeste;Vai e Vêm;10,37;2913,97;MAKE;;
43833;JAN;71594;Produto C;175;bt283;Fábrica Nordeste;Rapidex;3,11;544,25;CREMES;;
43832;JAN;79267;Produto X;315;BT255;Fábrica Sudeste;Del Monte;5,64;1776,6;MAKE;;
43832;JAN;71644;Produto J;134;BT357A;Fábrica Nordeste;Gavião;5,47;732,98;HIDRO;;
43832;JAN;44452;Produto V;339;T036;Fábrica Nordeste;Novo Horizonte;3,8;1288,2;TERCEIROS;;
43832;JAN;39682;Produto K;235;T088;Fábrica Nordeste;Gavião;2,96;695,6;HIDRO;;
43832;JAN;41460;Produto E;21;BT38D;Fábrica Sudeste;Del Monte;4,96;104,16;TERCEIROS;;
43832;JAN;58880;Produto L;422;T269;Fábrica Nordeste;Rapidex;13,58;5730,76;GIFT;;
43832;JAN;38309;Produto W;399;T326;Fábrica Sudeste;Rapidex;6,13;2445,87;MAKE;;
43832;JAN;49060;Produto A;116;BT317;Fábrica Sudeste;Novo Horizonte;3,54;410,64;MAKE;;
43832;JAN;70428;Produto O;8;T309;Fábrica Sudeste;Del Monte;4,73;37,84;CREMES;;
43832;JAN;38309;Produto W;319;BT323;Fábrica Nordeste;Novo Horizonte;7,71;2459,49;MAKE;;
43832;JAN;71644;Produto J;202;T282TL;Fábrica Sudeste;Flash;1,79;361,58;HIDRO;;
43832;JAN;65472;Produto U;424;BT326;Fábrica Nordeste;Del Monte;10,29;4362,96;MAKE;;
43832;JAN;37166;Produto N;472;T305;Fábrica Nordeste;Rapidex;3,82;1803,04;TERCEIROS;;
43832;JAN;41460;Produto E;407;T344;Fábrica Nordeste;Vai e Vêm;2,57;1045,99;CREMES;;
43832;JAN;70118;Produto T;363;T304;Fábrica Sudeste;Flash;3,74;1357,62;MAKE;;
43832;JAN;58880;Produto L;318;T276;Fábrica Nordeste;Novo Horizonte;4,34;1380,12;MAKE;;
43832;JAN;79267;Produto X;457;T201TO;Fábrica Nordeste;Vai e Vêm;5,93;2710,01;MAKE;;
43832;JAN;70428;Produto O;9;T323;Fábrica Sudeste;Vai e Vêm;2,33;20,97;HIDRO;;
43832;JAN;34344;Produto Y;301;T308;Fábrica Sudeste;Rapidex;7,29;2194,29;TERCEIROS;;
43832;JAN;39682;Produto K;85;T332;Fábrica Sudeste;Del Monte;12;1020;HIDRO;;
43832;JAN;44847;Produto P;312;BT332A;Fábrica Sudeste;Novo Horizonte;1,68;524,16;MAKE;;
43832;JAN;65472;Produto U;190;BT316;Fábrica Sudeste;Gavião;2,02;383,8;CREMES;;
43832;JAN;79267;Produto X;429;BT354;Fábrica Sudeste;Novo Horizonte;2,76;1184,04;CREMES;;
43832;JAN;37166;Produto N;62;BS288;Fábrica Nordeste;Novo Horizonte;2,16;133,92;TERCEIROS;;
43832;JAN;79267;Produto X;120;TA427E;Fábrica Sudeste;Del Monte;7,16;859,2;CREMES;;
43832;JAN;38309;Produto W;308;T346AT;Fábrica Nordeste;Flash;5,59;1721,72;CREMES;;
43832;JAN;37166;Produto N;94;T304;Fábrica Sudeste;Vai e Vêm;6,66;626,04;CREMES;;
43832;JAN;29670;Produto D;34;BT343;Fábrica Sudeste;Novo Horizonte;3,11;105,74;GIFT;;
43832;JAN;39682;Produto K;7;T346;Fábrica Nordeste;Gavião;2,87;20,09;GIFT;;
43832;JAN;44452;Produto V;170;T360;Fábrica Nordeste;Rapidex;2,34;397,8;GIFT;;
43832;JAN;34344;Produto Y;91;BT323AP;Fábrica Sudeste;Flash;1,57;142,87;GIFT;;
43832;JAN;37166;Produto N;199;T323;Fábrica Nordeste;Rapidex;2,24;445,76;MAKE;;
